サークル名 (Circle),"ふりがな (Circle, phonetically)",URL,ジャンル (Genre),Vocal,主な頒布CD (Album),原曲アレンジの程度 (?),一言
Halozy ,はろじー,http://www.halozy.com/,ダンス、トランス,女,Crescendo Planet,原曲維持～破壊,直球で分かりやすいダンスアレンジに豪華女声ボーカル。（Black）
HAPPY CLOVER,はっぴーくろーばー,http://nekomiko.com/,テクノ、ロック、ポップス,女,Termination Road,原曲維持,暗めに朗々としたマルチジャンルアレンジ。（Black）
HAPPY I SCREAM!!,はっぴーあいすくりーむ,http://ameblo.jp/happy-i-scream/,ロック、エレクトロニカ,女,Helianthus,原曲維持～破壊,エレギの刻みざくざくロックに女声ボーカル。（Black）
Helios Create,へりおすくりえいと,,テクノ、エレクトロ,,東方⑨音譚,原曲維持,
Human Error,ひゅーまんえらー,http://www.humanerror.info/,バンドアレンジ,男,Trial and Error,原曲維持,ギターメインのバンドに男声ボーカルが叫ぶ。（Black）
Icarus' cry,いかろすくらい,http://icarus-cry.syncl.jp/,ハードロック、メタル,男,ADVANCE TO THE DREAM,原曲維持～破壊,かっ飛ぶドラムとエレギに朗々と響く男声ボーカル。（和泉）
iD-Es,あいでぃーいーえす,,ロック,,BRAIN BLEND（デモ）,,
Iemitsu.,いえみつ,http://iemitsu.net/,ハードコア、トランス,女,IA-STYLE/Toho,原曲破壊,図太いビートと激しいシンセに新たな解釈を。（Black）
Imprison Equity,いんぷりずんえくいてぃ,http://ameblo.jp/ou-yo/,ロック、ハードロック,男女,卍-アニュ＼トス■,原曲維持,ゴシック系ロックボーカルアレンジ。哀愁的で確実な演奏に乗せて朗々と歌い上げるボーカル。（Black)
Independent Works,いんでぺんでんとわーくす,http://blog.livedoor.jp/kenichi_tanaka/,テクノ、エレクトロ,,THE THING!,原曲破壊,ミニマルや音の少ないテクノ。（Black）
INFINITY,いんふぃにてぃ,http://infinity-web.syncl.jp/,ハードロック、メタル,男女,東憐乱舞,原曲維持,多彩なギターに女声ボーカル多め。（Black）
ink touch,いんくたっち,http://www.geocities.co.jp/Playtown-Yoyo/9181/ink_touch/,テクノ、エレクトロ,,Sky of Twilight,原曲重視～維持,原曲メロを活かした暗めの打ち込み系。（Black）
Innocent Key,いのせんときー,http://movieplanet.dyndns.org/~Innocent_Key/,ダンス、ポップス,男女,東方サマーバケーション,原曲維持,電波ソングも含めた軽やかなダンスポップ。（Black）
INNOCENT WORKS,いのせんとわーくす,http://www.ab.auone-net.jp/~savan/,ダンス,,ORIENTAL VIBES,,
intworks,いんとわーくす,,テクノ、エレクトロ,,WELCOME TO THE WARPED DISCO,原曲破壊,前衛的なテクノ風。爽快。（Black）
ion,いおん,,ダンス、トランス,,Spiritual Spellers,原曲維持～破壊,シンプルなトランス系。（Black）
IOSYS,いおしす,http://www.iosysos.com/,ダンス、ポップス、ロック,男女,東方乙女囃子,原曲重視～維持,手堅いマルチジャンルアレンジ技術に手堅いボーカル、安定度はピカイチ。（Black）
IRC発突発企画,あいあーるしーはつとっぱつきかく,,テクノ、エレクトロ,,Lama is Dead,原曲維持～破壊,豪華アレンジャーがまじめに遊んだラマアレンジ。（Black）
IRON ATTACK!,あいあんあたっく,http://ameblo.jp/ironchino/,ロック、メタル,女,CRYING DESTINY,原曲維持,王道ギターが唸り駆ける。（Black）
izmizm,いずみずむ,http://izmizm.net/,ダンス、テクノ、エレクトロ,,Revivify,原曲維持,比較的穏やかな展開が聴きやすい。（Black）
J&B,じぇいあんどびー,http://www.m-jb.com/,ロック,女,airhead,原曲維持,
Jamming bit,じゃみんぐびっと,,テクノ,,jamming bit,原曲維持,シンプルなデジタル色が強めのアレンジ。（Black）
jeangsk家,じゃがさかけ,,トランス、ハードコア、テクノ、エレクトロ,,風見効果　～Weathervane Effect,原曲維持～破壊,高速かつ不気味なハードコアトランス系インスト。（和泉）
Jeux interdits,じゅーいんてるでぃっつ,,ロック、ハードコア、エレクトロ,女,Twilight Nightmare,原曲維持～破壊,
JF UNION,じぇいえふゆにおん,http://jf-union.com/,ロック、ポップス、エレクトロ,男女,Liｌac Mist,原曲維持,いろいろなタイプのアレンジに男女ボーカルが乗ったポップ寄り。（Black）
JUDSTYLE,じぇいゆーでぃーすたいる,http://judstyle.jp/,チップチューン,,FM紅魔郷,原曲重視,シンプルなチップチューン。（Black）
JUNCTION PROJECT,じゃんくしょんぷろじぇくと,http://junction-project.sakura.ne.jp/,エレクトロ、ピアノ,女,RED ROSE,原曲重視,
JunKY-jaM,じゃんきーじゃむ,http://jak.mistywhite.net/,テクノ、エレクトロ、ハウス、ジャズ,,幻想遊戯場,原曲維持,ゆったりめのテクノ、アンビエント、ジャズ系。（Black）
K1-Style,けーわんすたいる,http://www.k1-style.net/,ロック,男,SUBTERRANEAN PopISM,原曲維持～破壊,
K2 SOUND,けーつーさうんど,http://www.c-clays.com/,ポップス、ロック、トランス,女,花篝 HANA-KAGARI,原曲維持,マルチジャンルに女声ボーカル。トランスインストアレンジは懐かしい音色。（Black）
k6project,けーろくぷろじぇくと,http://byourou.web.fc2.com/k6project/,テクノ、エレクトロ、トランス、ハードコア、ロック、ハウス,女,"k6project ~Thank you ""Lotus land""",原曲重視～破壊,総勢438名とちょっとの参加、アレンジだけでも46曲という最大級企画のマルチジャンル。（Black）
kanival,かーにばる,http://kanivalkanival.web.fc2.com/,ロック,男,ナイツレイベル,原曲維持,重め低音重視のロックアレンジに男声ボーカル。（Black）
kaon,かおん,,ハードロック,女,東方デスボール,原曲維持,バリバリロックにがんばる女声ボーカル。（Black）
KARASHIC RECORDS,からしっくれこーず,http://karashicrecords.com/,トランス、テクノ、エレクトロ,,Mystic Potential,原曲維持～破壊,四つ打ちメインのやや暗めな進行が雰囲気を出している。（和泉）
Karkan,かるかん,http://www.karkan.net/,ロック、クラシック、民族,,宵星標,原曲維持,
KARMART,かるまーと,http://karmart.sakura.ne.jp/,ロック、テクノ,男,Echos,原曲維持～破壊,他とは一味違う物憂げで暗めのギターが奏でる東方。（Black）
Key Music,きいみゅーじっく,http://www.keymusic.info/,ポップス、テクノ、クラシック,女,東方見聞録シリーズ,原曲重視～維持,シンプルな味付けのマルチジャンル。（Black）
Key stone,きーすとーん,http://blog.livedoor.jp/by_the_window_/,バンド、ロック,,doll's heart,原曲維持,定番ロック。やや粗めだが哀愁漂うシンセの原曲メロ。（Black）
KINZOK ON,きんぞくおん,http://kinzoku.xxxxxxxx.jp/,エレクトロ、テクノ、ハードコア,,Bug core,原曲維持～破壊,ごりごり押しまくるハードコア。（Black）
Kissing the Mirror ,きっしんぐざみらー,http://www.aod666.com/,メタル,,Fatal Synthe's Awaikening,原曲維持,ギターソロによる原曲メロが華々しいメタル。（Black）
Klang-Gear,くらんくぎあ,http://klang-gear.x0.com/index.cgi?target=index,民族、ロック,,東風吹かば,原曲維持,異国情緒溢れる民族アレンジとロックアレンジ。（Black）
Knight cherry blossomS,ないとちぇりーぶろっさむず,,,,鋼鉄メロディアススパーク,,
Knights of Round,ないつおぶらうんど,http://www.radio-mnc.net/KNTS-0002/,ハードロック、トランス、テクノ,,Knights of Roundシリーズ,原曲維持～破壊,多数のアレンジャーによるマルチジャンル。安定感抜群。（Black）
Kota-rocK,こたろっく,http://kota-rock.com/,メタル,男,Birth of Fire,原曲破壊,重厚なメタルアレンジに男声ボーカルがマッチ。（Black）
KPDrecords,けーぴーでぃれこーず,,テクノ、エレクトロ,,The moon of reverberation,原曲維持～破壊,挑戦的な構成やノイズが印象的。（Black）
Kraster,くらすたー,http://kraster.jp/,テクノ、ロック,男女,東方雨月譚,原曲維持,
krossway,くろすうぇい,,トランス、エレクトロ,,手焼き東方アレンジCD,原曲維持,
KSNT,けそなと,http://ksnt.sakura.ne.jp/blog/,エレクトロ,,ココロのノコリガ,原曲重視,原曲メロを維持してノイズなどの味付けをうまく施したアレンジ。（Black）
k-waves LAB,けーうぇーぶすらぼ,http://kou-ogata.net/,民族,,幻想郷ポポルカント,原曲重視,アイリッシュ楽器生演奏でゆったりと。（Black）
L.I.C.,えるあいしー,,ハードコア、トランス,,coure,原曲破壊,
La Sonotasia,ら・そーのたしあ,http://bluefulcrum.web.fc2.com/,民族、ロック,女,Rune Girl in My Mind,原曲重視,哀愁漂う民族風ヴォーカルアレンジ。（鰻）
La Sonotasia,らそーのたしあ,http://bluefulcrum.web.fc2.com/,民族、ロック,女,Rune Girl in My Mind,原曲維持,どこか懐かしさを感じるボーカルアレンジ。ZABADAK風味？（Black）
La*vigne,らヴぃーにゅ,,テクノ、エレクトロ,,東方サンギート,原曲維持～破壊,軽やかにシンプルに、さらりと過ぎていくテクノ。（Black）
Lab C.C.Lemon -CCレモン実験室-,らぶしーしーれもん,http://pocky.real-sound.net/c-c-lab/,ボーカロイド、テクノ、ロック,,Neglectworld,原曲維持,
LABEL ARPEGGIO-Sound,らべるあるぺじおさうんど,http://homepage3.nifty.com/LAS/,オーケストラ,,東奔西走,原曲維持,シンフォニックのメロが朗々と。（Black）
Laid-Back Style,れいどばっくすたいる,http://lbstyle.blog.shinobi.jp/,メタル,,Vampiric rage,原曲維持,重く激しく唸るギターインスト。（Black）
LAL,えるえーえる,http://www.lalnet.info/,ハードロック、エレクトロ、民族,,西方風来シリーズ,原曲維持,
Languid space,らんきっどすぺーす,http://languidspace.seesaa.net/,テクノ、エレクトロ,,FOUR BEATS,原曲維持～破壊,やや暗めに淡々と進む四つ打ち。（Black）
Lapis moss,らぴすもす,http://kobakyon.net/,ハードコア、トランス,女,明鏡神水,原曲維持～破壊,Rolling Contactがハードコア以外の曲も提供、女声ボーカルを乗せて。（Black）
L'ARCHANGE,らるかんじゅ,http://kagutsuchi.jp/(18禁注意),ハードロック,,トウホウノツメアワセ,原曲重視,軽めだが速いハードロック、メタル風。（Black）
Last Sphere,らすとすふぃあ,http://sound.jp/lastsphere/,テクノ、エレクトロ、ロック,女,Eternal-解放-,原曲維持,
laughing out loud,らふぃんぐあうとらうど,http://lollol.client.jp/,トランス,,anxiety,原曲維持,厚いビートの迫力を感じるトランス。（Black）
LAVO,らぼ,http://www.llaavvoo.com/,テクノ、エレクトロ,,SACRED MUSIC FOR THE PLEASANT GODDESS,原曲維持,
LEAP＆LOOP,りーぷあんどるーぷ,,ロック、バンド,男,Over image,原曲重視,
Level0,れべる０,,バンドアレンジ,女,EP-0,原曲維持,バンドっぽいシンプルなアレンジに、女性ボーカルが頑張っている。（Black）
LevoLution（TranceShift）,れヴぉりゅーしょん,http://levolution.info/,トランス、ドラムンベース,,Skyrise,原曲維持,透明感、幻想感が気持ちよいトランスアレンジ最高峰。（Black）
L-Garden,えるがーでん,,テクノ、エレクトロ、トランス、ロック,女,偽幻想曲集,原曲維持,いろいろな風景が浮かんでくるマルチジャンルアレンジ。（Black）
Light?Staff,らいとすたっふ,,ロック,女,K点,原曲重視～維持,同人らしい粗さがかえって魅力かも。（Black）
Like a rabbit,らいくあらびっと,http://likearabbit.info/,ポップス、ダンス,女,Sparking for You!!,原曲維持,ライトなポップスアレンジに女声ボーカルがぴったり。（Black）
LiLA'c Records,りられこーず,http://www.lilac-records.com/,トランス、ダンス、テクノ、エレクトロ,女,LiLA'c Records SAMPLER 01,原曲維持～破壊,やや暗めで激しい四つ打ちトランス。（Black）
LIMBO-54,りんぼごーよん,http://ri-me-me.jugem.jp/,,,Ｂｅｈoｉ＿ｍｅ！,,
link of rayline,りんくおぶれいらいん,http://www.geocities.jp/yazuchi_sueta/,テクノ、エレクトロ、民族、ボーカロイド,,天上アニマ,原曲維持,ソリッドなテクノインストメイン。（和泉）
link of rayline(ヤヅチ工房),りんくおぶれいらいん,http://www.geocities.jp/yazuchi_sueta/,,,「ブレイクダウン・タイフーン」(プレ版),原曲維持,
LION HEART,らいおんはーと,http://shakna.jp/,テクノ、エレクトロ、ロック,,烈華伝O.S.T.,原曲維持,原曲を活かしたシンプルなアレンジ。（Black）
liquid lime-light,りくいっどらいむらいと,http://liquidlimelight.blog137.fc2.com/,ロック,男,through the telescope,原曲重視,シンプルなバンドアレンジ。(イール)
Liset,りせっと,http://magicalinterface.blog79.fc2.com/,テクノ、エレクトロ,女,恋の弾幕ストラックアウト！,原曲維持～破壊,電子音多めな女声ボーカル。（Black）
little white snow,りとるはわいとすのう,http://snow-illusion.com/,エレクトロ、ポップス,女,Last Layer,原曲維持,ポップなボーカルと太めのマルチジャンルアレンジ。（和泉）
Live in Lab,らいぶいんらぶ,http://liveinlab.blog77.fc2.com/,ジャズ、フュージョン,,東方研究所住まい,原曲重視～維持,オール生演奏ジャズアレンジの臨場感。（Black）
Lively Angels,らいぶりーえんじぇるず,http://www.livelyangels.org/,テクノ、トランス,,Shooting Games Arranging Space Vol.01,原曲維持,東方のほかシューティングゲームのゲームミュージックライクなテクノ、トランス寄りインスト。（Black）
Liverne,りヴぁーん,,ダンス、ロック,,東方幻奏祀典,原曲維持,多数のアレンジャーを集めた企画。いい曲揃い。（Black）
Lobgesang,らぶげさん,http://lobgesang.net/,ピアノ、テクノ,,Strumming 春、幻想郷にてピアノをかき鳴らしてみれば,原曲維持,クラシックの技法に忠実に、現代的要素も取り入れたピアノアレンジ。（Black）
Logic Strike ,ろじっくすとらいく,,ボーカロイド、ロック、エレクトロ,,L⇔Rink,原曲維持,ニコ動で活躍する150P氏のボーカロイド系アレンジ。（Black）
logical emotion,ろじかるえもーしょん,http://logical-emotion.com/,ピアノ、アコースティックギター,,Touhou Project acoustic arranged instruments,原曲重視,ニコ動で著名なまらしぃ氏のアコースティック系アレンジ。（Black）
Lolita Comp Records,ろりーたこんぷれこーず,http://lolitacomprecs.at.webry.info/,テクノ、ハードミニマル、シュランツ,,妖精酒乱大戦,原曲破壊,珍しい超極太ハードミニマル系アレンジで脳髄が溶ける。（和泉）
LOOPCUBE,るーぷきゅーぶ,http://loopcube.net/,テクノ、ロック、ポップス,女,lost khara,原曲維持,オリジナルで手堅い技術は東方アレンジでも健在。（Black）
LOST BLESS,ろすとぶれす,http://fancycafe.kachoufuugetu.net/,ダンス、トランス、テクノ,女,東方恋舞想,原曲維持～破壊,明るい表情のダンス風アレンジ。（Black）
Lost Garden ,ろすとがーでん,http://lostgarden.coresv.com/,ワルツ,,Kalanchoe tomentosa,原曲維持,
LOVEマシーン,らぶましーん,,ダンス、トランス,女,iris,原曲重視～維持,基本原曲に近いが雰囲気を活かしたダークな展開も。（Black）
LSD,えるえすでぃ,http://thelucy.blog118.fc2.com/,ロック、バンドアレンジ,男,Lovely Sweet Dreams,原曲維持,エレギ満載のバンド男声ボーカルアレンジ。（Black）
Lunar Gate,るなげーと,,テクノ、エレクトロ,,Transire～東方鋸波奏～,原曲維持,
Lunar Machines,るなましーん,http://milue.fc2web.com/,ダンス、ポップス,,THE UDONGEM@STER,原曲維持,元気いっぱいなポップス寄りアレンジで元気になれる。（Black）
LunarComet,るなーこめっと,http://kstd.net/,テクノ、エレクトロ、ロック,,テクノ・チルノ,原曲維持,正統派テクノから挑戦的なアレンジまで多彩。（Black）
Lunatic Gate,るなてぃっくげーと,http://www.lunatic-gate.net/,ダンス、トランス,,東方舞踏会,原曲維持,スタンダードなクラブ系。（Black）
Lunatic×Bullets,るなてぃっくぶれっつ,,ロック,男,東方弾丸狂,原曲維持,シンプルなロックに素直な男声ボーカル。（Black）
Lunatico,るなてぃこ,http://yaya.fool.jp/,ピアノ,女,少女洋琴倶楽部 Part1,原曲維持,音少なめの端正なピアノアレンジに女声ボーカル。（Black）
LyricalMagical ,りりかるまじかる,http://www.cihiro.net/Lyrical/,,,東方SNAPサウンドエクスパンション,,
Ｌ連.ＮＥＴ,えるれんどっとねっと,http://lucifer.pussycat.jp/,テクノ、エレクトロ,,方楽纂解 -蓮境異聞-,原曲維持,東方とスクウェアを混ぜてアレンジ。（Black）
M.I.W,えむあいだぶりゅー,http://huyutuki.com/,テクノ、ロック、エレクトロ,,Sound Vision ～幻視調律～,原曲維持,多数のアレンジャーによるマルチジャンル。カードゲームイメージアルバム。（Black）
M2indManufactory ,ますたーまいんどまにゅふぁくとりー,http://www.m2ind.com/,テクノ、エレクトロニカ,,昼夜戀歌,原曲維持,BGMに最適な音の少ないエレクトロニカ。しみじみくる。（Black）
M3tamix Records,めたみっくすれこーず,http://www.m3tamix.com/,ダンス、トランス,,TOHO BEATRONICシリーズ,原曲破壊,
M82A1,えむはちにーえーわん,http://m82a1.web.fc2.com/,エレクトロ,,東方ナズ緑,原曲維持,
m9,えむないん,http://mmmmmmmmm9.xxxxxxxx.jp/,ロック,男,mp,原曲維持,あまり激しくなく、個人的には聞きやすい作品。曲調は明るめに感じる。(鰻)
MA.S ATTACK,まーずあたっく,http://mas-attack.org/,テクノ、エレクトロ,,Laidback Faith,原曲維持,思う存分やりたい放題、大胆な音遣いは面白い。（Black）
Mad Tea Party,まっどてぃーぱーてぃー,http://cz75sr.blog48.fc2.com/,ロック、エレクトロ、民族（和風）,,GODMOTHER,原曲維持,手堅いアレンジャーが集まったマルチジャンル。（Black）
Magic Scientist,まじっくさいえんてぃすと,http://plaza.rakuten.co.jp/aiharaharu/,テクノ、エレクトロ,,Magic Scientist,原曲維持,ダークめな音遣いのエレクトロインスト。（Black）
Magical Hazard,まじかるはざーど,http://magicalhazard.blog78.fc2.com/,エレクトロ、ピアノ,,マジカルハザードvol.1,原曲維持,
Ma-Hi-Te,まーひーてー,http://ma-hi-te.com/,オーケストラ,,YOYOMU PICTURE,原曲維持,軽やかなオーケストラ風アレンジ。変拍子が特徴的。（鰻）
Marble Records,まーぶるれこーど,http://marblerecords.net/,テクノ、ダンス、トランス,,東方風祇譚,原曲維持,
Marmalade butcher,まーまれーどぶっちゃー,http://marmalade-b.web.wox.cc/,ロック、バンドアレンジ,男,My Speedy Aya E.P.,原曲維持,疾走感あふれるロックに男声ボーカルも疾走。（Black）
MARS Tracks,まーずとらっくす,http://marstracks.blog111.fc2.com/,ダンス、トランス、ハードコア,,Strada vs Anne Maddox the Compilation,原曲維持,
Melodic Taste,めろでぃっくていすと,http://taste-f.sakura.ne.jp/Melodic/,オーケストラ,女,千年幻想交響祭,原曲重視,軽快なオーケストラアレンジ。(浅葱)
merinorsh ,めりのーしゅ,http://merinorsh.blog123.fc2.com/,,,BRING YOUR BROOM!!,,
METALUNA,めたるな,http://metalwasabi.kinugoshi.net/,ロック、エレクトロ,,Corruption Maqam,原曲維持,妖しい雰囲気のロック。毛色の違うアレンジが好きな人向け。（Black）
M-HOUSE,えむはうす,http://www2u.biglobe.ne.jp/~mmhr/pm/ ,ロック,,幻想ジャック・ザ・リッパー　おまけCD,原曲維持,雰囲気を残しつつうまくアレンジしている(UR)
micro planet,まいくろぷらねっと,http://microplanet.web.fc2.com/,ダンス、エレクトロ,,ゲンソウタマテバコ,原曲維持,明るく穏やかなダンス寄り。（Black）
MIDICONDRIA,みでぃこんどりあ,http://midicondria.6.ql.bz/,ロック,,The Green Label E.P.,原曲維持,心持ち哀愁漂うエレキギターロックインスト。（Black）
MidNight Note,みっどないとのーと,http://midnightyuyu.blog130.fc2.com/,ピアノ、エレクトロニカ,,結桜,原曲重視,ピアノとオルゴールの音色がとてもやさしいゆったりと温かいインストアレンジ。（Black）
MINAMOTRANCE,みなもとらんす,http://minamotrance.com/,トランス、ハードコア,女,Reincarnation,原曲破壊,激しいトランス、ハードコアの腕前は一級品。（和泉）
miniature dachs,みにちゅあだっくす,http://hitohawaorenoyome.seesaa.net/,,,,,
minimum electric design,みにまむえれくとりっくでざいん,http://miniele.web.fc2.com/,ロック、エレクトロニカ,,明治172年のフィクション,原曲維持～破壊,ゆったり目のロック、エレクトロニカ。（Black）
minor=minor,まいなーまいなー,http://minorminor.mad.buttobi.net/,ジャズ,,"Jazz Bar ""Scarlet""",原曲維持,珍しい邪道ジャズアレンジ。(イール)
Minstrel,みんすとれる,http://yuta.dogearstudios.net/,ロック,女,夢と幻と泡と影,原曲維持,速いがどこか穏やかなアレンジとギター。（Black）
MINT's World,みんとわーるど,http://www.tsukimizake.com/,テクノ、ロック、ジャズ,,ヽノ十,原曲維持,
mira,みら,,ロック,男,丸見え,原曲維持,硬質の男声ボーカルに速めのロック。（Black）
mirr-or,みらー,http://mirror000.web.fc2.com/,ピアノ,,quiet color,原曲重視,高難易度のピアノアレンジ。（Black）
miskyworks,みすきぃわーくす,http://miskyworks.net/,エレクトロ、ジャズ,,daisy strategy,原曲維持,
mistbell,みすとべる,http://www.mistbell.com/official/,ダンス、トランス、テクノ,,東方ファンタジー -ADVENT CIRNO- ,原曲重視～維持,FF風アレンジは面白い。基本激しいトランス系。（Black）
MisteryCircle,みすてりーさーくる,http://www.misterycircle.jp/,ロック、メタル,女,狂宴ノスタルジア,原曲重視,
MISTY RAIN,みすてぃれいん,http://mistyrain.yukimizake.net/,ロック,女,Scarlet Scenery,原曲維持,鋭いエレギのロックアレンジに女声ボーカル。（和泉）
MNK,えむえぬけー,http://ameblo.jp/helism/,ハードコア,,幼女さとり ～ 3 Years Old,原曲破壊,
MNKsound,えむえぬけーさうんど,http://mnksound.so.land.to/index.php,テクノ、トランス、ハードコア、ドラムンベース、ブレイクコア,,rhythmiculture -リズミカルチャー-,原曲維持,打ち込みリズム系マルチジャンルインスト。軽やかなエレクトロから重低音ブレイクコアまでいろいろなリズム系ジャンルが満載。（Black）
MN-logic24,えむえぬろじっくとぅえんてぃーふぉー,http://minerogu.web.fc2.com/,ロック、ドラムンベース、ポップス,女,シンデレラガール,原曲維持,ロック成分多めだがアニソン風のもあったりする女声ボーカルアレンジ。（Black）
Mods Crisis ∞,もっづくらいしすいんふぃにてぃ,http://infinity-web.syncl.jp/,スクリーモ、メタル,男女,NEXSCREAM,原曲維持,男性のデスボイスと明るめの女性ボーカルが印象に残るサークル。曲調に速度がある。(鰻)
Mods Crisis α,もっづくらいしすあるふぁ,http://infinity-web.syncl.jp/,,,,,
ＭＯＭＯＰＯＬＹ,ももぽり,http://momonga00.blog28.fc2.com/,エレクトロ、トランス,,Stromatolite,原曲維持,
Monochrome,ものくろーむ,http://monochrome.ivory.ne.jp/monochrome/,ピアノ,,幻想的東方小品集,原曲維持,シンプルなピアノアレンジ。（Black）
Monochrome Studio,ものくろーむすたじお,http://monostudio.xxxxxxxx.jp/,ロック、バンド,男,モノクロスタジオ,原曲維持,
monochrome-coat ,ものくろーむこーと,http://mono-coat.com/,ダンス、メタル、テクノ,女,Euphorbia,原曲維持,くっきりした輪郭のトランス等マルチジャンル。（Black）
monoROSETTA,ものろぜった,http://monorosetta.com/,ポップス,女,GREATEST HITS(予定) Vol.1,原曲破壊,原曲破壊と言うよりはJOP風アレンジというべきかも。(鰻）
MOON GODDESS,むーんごっです,http://mgss.jp/,チップチューン,,東方迷怪洞・紅,原曲維持～破壊,
MooN Light Record,むーんらいとれこーず,http://gasmatch.net/,クラシック、民族,,魔理沙とパチュリーのテーマによるアコースティックのための,原曲維持,和楽器も使ったクラシカルなOST。（Black）
MORATORIUM,もらとりあむ,http://moratorium.soudesune.net/,ロック、バンド,男,another story,原曲破壊,
Ｍ－Ｓｔｙｌｅ,えむすたいる,http://music.geocities.jp/m_style_minami/,テクノ、エレクトロ,男,東方キャラクターイメージアルバムシリーズ,原曲維持,穏やかなテクノ風にボーカル。（Black）
MUDEAN,みゅーでぃーん,http://mudean.web.fc2.com/,トランス、ロック、エレクトロ,男女,Near Future,原曲維持,巧く手堅いマルチジャンルアレンジのトラックに男女ボーカル、エレクトロ、ロック寄り。（Black）
Mundi renovatio,むんでぃれのヴぁーてぃお,http://mundirenovatio.com/,ロック、エレクトロ,女,ecclesia magarum,原曲維持,速めのロック成分アレンジに音域の違う3人女声ボーカルがハモったり。ドラマパートあり。（Black）
Music Advance,みゅーじっくあどばんす,http://m-advance.net/,,,東方Check mate!!,,
Music Load,みゅーじっくろーど,http://9-stars.net/hirokazu/musicload.htm,リコーダー,,幻想郷の冬は辛い(完成版),原曲重視～維持,生演奏リコーダーのみのシンプルな心地よさ。（Black）
Music Mix Organization,みゅーじっくみっくすおるがにぜーしょん,http://mmo-cir.sakura.ne.jp/,テクノ、エレクトロ、エレクトロニカ,女,弾幕フルコース,原曲維持,マルチジャンル盛りだくさん、高速ありゆったりあり。（Black）
Musicaloid,みゅーじかろいど,,テクノ、エレクトロ,,綺想遊戯,原曲維持,原曲を活かした暗めの打ち込みテクノ風。（Black）
MyonMyon,みょんみょん,,メタル、ハードロック,男女,The Grimoire Of Alice,原曲維持,駆け抜けるギターとかっ飛んでいくドラムに昂るしかない。（Black）
N.K.T.Kid,えぬけいてぃーきっど,http://park15.wakwak.com/~n.k.t.kid/,エレクトロ,,Enjoy Driving!! with東方project,原曲維持,
NAGATOMO,ながとも,http://nagatomo-music.seesaa.net/,ロック,男,1st　Demo　C80,原曲重視,
nakascene(At Living),なかしーん,http://shin.s26.xrea.com/,ダンス、トランス,,東方七鍵盤,原曲重視,素直なIIDX風アレンジ。（Black）
Nanahoshi,ななほし,http://nana-hoshi.seesaa.net/,ロック,女,カワリガワルナミモヨウ,原曲重視,発展途上なロック系ヴォーカルアレンジ。(麦)
Narashino Music Project,ならしのみゅーじっくぷろじぇくと,http://narashinomp.blog82.fc2.com/,ハードロック,,東方夢弦想,原曲維持,太いエレギで圧力高めなロックインストアレンジ。（Black）
Natural☆High,なちゅらるはい,http://www.natural-high.net/,ロック,女,Natural☆High,原曲重視,バンド生演奏によるロックヴォーカルアレンジ。(りず)
nekomimi style(Re:cy:cle),ねこみみすたいる,http://www.nekomirin.com/,ポップス、トランス、ハードコア,女,東方ねこじゃらし,原曲維持～破壊,大人数での合同ＣＤが主流。各アレンジャーの個性が散りばめられている。(イール)
NEKONAMi,ねこなみ,http://yaplog.jp/nekonamicats/,ロック、ポップス,女,Sweet town,原曲維持,軽めのエレキギターに女声ボーカル。各曲そんなに重くないので気軽に聞ける。（Black）
NellMode,ねるもーど,http://nellmode.hiho.jp/,,,slave,,
neotechnopolis,ねおてくのぽりす,,トランス、テクノ,,東方宝珠,原曲重視,シンプルなトランスアレンジ。(イール)
NeutraL,にゅーとらる,,メタル、ジャズ、トランス、オーケストラ,女,桜舞い散る夜の闇,原曲維持,ジャンル別・作品別のコンピレーションアルバム中心。発行ペースがとにかく速い。（りず)
NeuzKraft,のいつくらふと,http://neuzkraft.sblo.jp/,チップチューン、ロック,男,東方サティスファクション,原曲維持,軽いロックアレンジ。(浅葱)
NightRiders,ないとらいだーず,http://nightra.blog89.fc2.com/,クラシックギター,,東方倶楽義集・序,原曲重視,クラシックギターによる生演奏アレンジ。深みの有る演奏は絶品。(イール)
NIZI-RINGO,にじりんご,http://nizi-ringo.net/,エレクトロニカ,,幻想郷の日常と...,原曲維持,幻想郷ののんびりとした日常風景が浮かぶゆったり軽やかなアレンジが心地よい。（Black）
NJK Record,にじかれこーど,http://nijika.net/,ロック、ジャズ、ポップス,女,Crimson Glory,原曲維持,女性ヴォーカル曲メイン。原曲を維持したテンポのよいアレンジは水準以上。(イール)
NO TITLE,のーたいとる,http://www.enola.jp/,エレクトロ、ボーカロイド,,ピーという発信音の後にドリルミサイル発射。正解は二十秒後（仮）,原曲維持,ネタ系ボーカロイド満載のシンプルなアレンジ。（和泉）
No.303,なんばーさんまるさん,http://blog.goo.ne.jp/webno303,エレクトロ、ポップス,男,Eternal Memory,原曲重視～維持,朗々と男声ボーカルが大胆に響くポップス系アレンジ。（Black）
NoCturne,のくたーん,http://akaru.moo.jp/,ロック、エレクトロ,,桜華永在 ～ Limitless F/h,原曲維持,
Non:Directional（ぐんぐにる。）,のんでぃれくしょなる,http://gungnir.dou-jin.com/,,,SEMI*PARMANENT0.5 *GUNGNIR*,,
