Gender,Age,Race,Professional Field,Professional Status,Degree Status,Relationship Status,Political Views,Religious Views,Religious Background,Religious Background 2,IQ,OB posts,-------------------------------------------------------------------------------------------------------------------------,Time in Community,Time per day,LW Karma,Probability: MWI,Probability: Aliens,Probability: Aliens 2,Probability: God,Probability: God 2,Probability: Supernatural,Probability: Cryonics,Probability: Anti-Agathics,Probability: Simulation,Three Worlds Ending,Robin vs. Eliezer Singularity,Singularity: Year,Classic Prisoner's Dilemma,"Eliezer's ""True"" Prisoner's Dilemma",Probability: High IQ,Private,Counterfactual Mugging,Existential Risk 2,-------------------------------------------------------------------------------------------------------------------------,Cryonics,Participation,Moral value,Probability: Global Warming,Expertise,Probability: Existential Risk,Charity,Moral Views,Calibration 1,Calibration 2
Male,21,White (non-Hispanic),Other Social Sciences,Student,None,Single (and looking),"Liberal (for example, US Democrats and UK Labour; socially permissive, more taxes, more redistribution of wealth)","Atheist, and not ""spiritual""",Family was about average religiousity,Roman-Catholic,,10,,12,15,12,50,98,98,0.01,0,0.02,0.5,5,0.02,Humans blow up Huygens,No preference / Don't believe in the Singularity,,Defect,Defect,,,Don't,Nuclear war,,"No, and don't plan to",,"Healthy, productive, adult humans, Healthy, unproductive adult humans, Infants, Fetuses, Higher primates (eg chimps)",90,"World affairs, Energy/pollution/environment",70,"True, for most normal charities (eg UNICEF)",Consequentialist (Eliezer's interpretation),1875,12
Male,27,White (non-Hispanic),Other computing,Other for-profit work,Masters,Single (and looking),,"Atheist, and not ""spiritual""",Family was nonreligious,,,5,.,5,20,0,,75,50,5,0,5,2,30,5,No preference / Didn't read it,Eliezer's: A singleton AI suddenly reaching singularity status,2100(-50)(+200),Cooperate,Defect,,,Don't,Asteroid strike,.,"No, and don't plan to",,"Healthy, productive, adult humans, Infants, Higher primates (eg chimps), Other animals",70,"Economics, World affairs, Energy/pollution/environment, Math and Physics, AI, Philosophy",70,"Possibly true, but only for a few outstanding charities",Insufficient categorisation,1875,25.%
Male,45,White (non-Hispanic),Other computing,Other for-profit work,None,Single (but not looking),"I'm probably nearer to ""Libertarian"" than the other choices I'm allowed, but this should probably be split into multiple questions ","Atheist, and not ""spiritual""",Family was about average religiousity,Church of England,140,40,.,12,45,20,50,0.01,0,0,,0,25,50,,Humans blow up Huygens,Eliezer's: A singleton AI suddenly reaching singularity status,2050,Cooperate,Defect,60,,Don't,Unfriendly AI,,"No, but considering it","Political activism, Technology, Entrepreneurship","Healthy, productive, adult humans, Healthy, unproductive adult humans, Infants, Higher primates (eg chimps), Other animals",90,"Economics, World affairs, Law, Energy/pollution/environment, Math and Physics, AI, Biology and Medicine, Psychology and Neurology",75,"False for all charities, or it is prohibitively difficult to identify charities for which it is true.",,1875,20
Male,21,White (non-Hispanic),Mathematics,Student,None,Single (but not looking),"Liberal (for example, US Democrats and UK Tories; socially permissive, more taxes, more redistribution of wealth)","Atheist, and not ""spiritual""",Family was nonreligious,Christianity,,,.,2,15,,,1>,,0.001,1,0.1,,,,Superhappies reprogram the human utility function,Eliezer's: A singleton AI suddenly reaching singularity status,2050,Cooperate,Defect,,,Give Omega $100,Asteroid strike,.,"No, and don't plan to",,"Healthy, productive, adult humans, Healthy, unproductive adult humans, Infants, Higher primates (eg chimps)",,,,"True, for most normal charities (eg UNICEF)",Deontologist,1875,12
Male,22,White (non-Hispanic),None / Decline to answer,Student,B.A.,Single (but not looking),"Socialist (for example Scandinavian countries; socially permissive, high taxes and major redistribution of wealth)",Agnostic,Family was nonreligious,,,50.%,.,18,30,,10,90,50,20,10,30,20,5,10,No preference / Didn't read it,No preference / Don't believe in the Singularity,,Cooperate,No preference / Depends / Don't understand,,,No preference / Depends / Don't understand,Nuclear war,.,"No, and don't plan to","Political debate, Entrepreneurship","Healthy, productive, adult humans, Healthy, unproductive adult humans, Infants",66,"World affairs, Philosophy",90,"Possibly true, but only for a few outstanding charities",Deontologist,1876,25
Male,24,White (non-Hispanic),Other computing,Other for-profit work,B. S.,Single (and looking),"Liberal (for example, US Democrats and UK Labour; socially permissive, more taxes, more redistribution of wealth)","Atheist, and not ""spiritual""",Family was explicitly atheist,,140,80,,24,10,0,50,60,10,0.01,10,1,10,15,15,Superhappies reprogram the human utility function,Robin's: Whole brain emulations gradually reaching singularity status,2300,Cooperate,Cooperate,50,,Give Omega $100,Environmental catastrophe (eg global warming),,"No, and don't plan to",,"Healthy, productive, adult humans, Healthy, unproductive adult humans, Infants, Higher primates (eg chimps), Other animals",85,,75,"Possibly true, but only for a few outstanding charities",Consequentialist (Eliezer's interpretation),1876,15
Male,28,White (non-Hispanic),Other computing,Other for-profit work,Masters,Married,"Libertarian (for example US Libertarian Party; socially permissive, minimal/no taxes, minimal/no redistribution of wealth)","Atheist, and not ""spiritual""",Family was about average religiousity,Christian,132,"85%: All of Eliezer's, and most of Robin's",,18,25,,,80,20,0,0,0,3,30,1,Humans blow up Huygens,Eliezer's: A singleton AI suddenly reaching singularity status,2100,Defect,Defect,85,,Don't,Pandemic (bioengineered),,"No, but considering it","Atheism, Skepticism","Healthy, productive, adult humans, Healthy, unproductive adult humans, Infants, Fetuses, Higher primates (eg chimps), Other animals",85,Economics,70,No opinion,,1878,15
Male,24,White (non-Hispanic),Mathematics Education,"Academic (on the teaching end, not the student end)",B. S.,Single (but not looking),"Liberal (for example, US Democrats and UK Labour; socially permissive, more taxes, more redistribution of wealth)","Atheist, and not ""spiritual""",Family was about average religiousity,Church of England,133,25.%,,3 months,30,,87,50,0.01,0.01,0,0.01,16.666666666,99,0.01,No preference / Didn't read it,Eliezer's: A singleton AI suddenly reaching singularity status,2065,No preference / Depends / Don't understand,No preference / Depends / Don't understand,2,,Give Omega $100,Environmental catastrophe (eg global warming),,"No, but considering it","Skepticism, Political debate, Technology","My moral system doesn't work like this, or I choose not to answer",79,"Economics, Math and Physics, Philosophy",75,"Possibly true, but only for a few outstanding charities",Consequentialist (generic interpretation),1878,15
Male,40,White (non-Hispanic),Other computing,"Academic (on the teaching end, not the student end)",Masters,Single (but not looking),"Conservative (for example US Republicans or UK Tories; support ""traditional"" values, low taxes, low redistribution of wealth)",Agnostic,Family was about average religiousity,,154,0,,1,12,0,20,60,5,1,0.2,1,1,8,99,No preference / Didn't read it,Eliezer's: A singleton AI suddenly reaching singularity status,2062,Cooperate,Cooperate,55,,No preference / Depends / Don't understand,Pandemic (bioengineered),,"No, and don't plan to",Skepticism,"Healthy, productive, adult humans, Healthy, unproductive adult humans, Infants, Fetuses, Higher primates (eg chimps), Other animals",80,"Math and Physics, Biology and Medicine, Philosophy",20,"True, for most normal charities (eg UNICEF)",solipsist,1879,100
Male,27,White (non-Hispanic),Other computing,Other for-profit work,B. S.,Married,"Libertarian (for example US Libertarian Party; socially permissive, minimal/no taxes, minimal/no redistribution of wealth)","Atheist, and not ""spiritual""",Family was nonreligious,,138,10,,8,20,,85,100,90,0,0,0,40,10,0,Humans blow up Huygens,Eliezer's: A singleton AI suddenly reaching singularity status,2100,Cooperate,Cooperate,70,,Don't,Pandemic (bioengineered),,Yes,,"Healthy, productive, adult humans, Healthy, unproductive adult humans, Infants, Fetuses, Higher primates (eg chimps)",80,,70,"Possibly true, but only for a few outstanding charities",Consequentialist (generic interpretation),1879,80
Male,27,Hispanic,Artificial Intelligence,Other for-profit work,None,In a relationship,Anarchist,"Atheist, and not ""spiritual""",Family was about average religiousity,Catholic,145,70.%,,18,15,61,80,95,50,1,0,1,10,50,1,Superhappies reprogram the human utility function,Eliezer's: A singleton AI suddenly reaching singularity status,2020,Cooperate,Cooperate,75,,Don't,Nuclear war,,"No, but considering it","Atheism, Political activism, Technology, Transhumanism","My moral system doesn't work like this, or I choose not to answer",90,"Economics, Energy/pollution/environment, AI, Biology and Medicine, Psychology and Neurology",80,"True, for most normal charities (eg UNICEF)",Consequentialist (Eliezer's interpretation),1879,90
Male,42,White (non-Hispanic),,Other for-profit work,B. S.,Married,"Liberal (for example, US Democrats and UK Labour; socially permissive, more taxes, more redistribution of wealth)","Atheist, and not ""spiritual""",Family was nonreligious,,160,20,,12,5,,1,99.9999,99.99,1,0,1,10,50,1,,Eliezer's: A singleton AI suddenly reaching singularity status,2100,Cooperate,No preference / Depends / Don't understand,90,,No preference / Depends / Don't understand,,,"No, but considering it",,"Healthy, productive, adult humans, Healthy, unproductive adult humans, Infants",90,"Economics, World affairs, Energy/pollution/environment, Math and Physics, AI, Philosophy",99,No opinion,Consequentialist (generic interpretation),1879,99
Male,38,White (non-Hispanic),Other computing,Other for-profit work,Ph. D.,Married,"Libertarian (for example US Libertarian Party; socially permissive, minimal/no taxes, minimal/no redistribution of wealth)","Atheist, and not ""spiritual""",Family was less religious than average,Christian,,90,,28,20,7,70,100,90,0,0,0,50,60,20,Superhappies reprogram the human utility function,Eliezer's: A singleton AI suddenly reaching singularity status,2040,Cooperate,Cooperate,,,Give Omega $100,Unfriendly AI,,"No, but considering it",,"Healthy, productive, adult humans, Healthy, unproductive adult humans, Infants, Higher primates (eg chimps), Other animals",99,,60,"False for all charities, or it is prohibitively difficult to identify charities for which it is true.",Consequentialist (Eliezer's interpretation),1879,90
Male,32,,Other computing,Other for-profit work,B. S.,In a relationship,"Socialist (for example Scandinavian countries; socially permissive, high taxes and major redistribution of wealth)","Atheist, and not ""spiritual""",Family was explicitly atheist,,,,,18,30,,99,99,30,0,0,0,50,99,,No preference / Didn't read it,No preference / Don't believe in the Singularity,1998,Cooperate,Cooperate,,,No preference / Depends / Don't understand,,,"No, and don't plan to",,"My moral system doesn't work like this, or I choose not to answer",,,,No opinion,Consequentialist (generic interpretation),1879,20
Male,32,White (non-Hispanic),Other computing,Other for-profit work,None,Married,"Socialist (for example Scandinavian countries; socially permissive, high taxes and major redistribution of wealth)","Atheist, and not ""spiritual""",Family was extremely religious,Christian,142,10,,10,15,,40,1,0.0001,0.0001,0.0001,0.0001,5,1,0.0001,No preference / Didn't read it,Robin's: Whole brain emulations gradually reaching singularity status,2200,Cooperate,No preference / Depends / Don't understand,50,,Don't,Environmental catastrophe (eg global warming),,"No, never thought about it","Atheism, Skepticism, Political debate, Technology","Healthy, productive, adult humans, Healthy, unproductive adult humans, Infants, Fetuses, Higher primates (eg chimps), Other animals",80,,95,"False for all charities, or it is prohibitively difficult to identify charities for which it is true.",Consequentialist (generic interpretation),1879,50
Male,23,White (non-Hispanic),"Artificial Intelligence, Other computing, Other Hard Sciences",Other for-profit work,"autodidact, currently seeking admission for Ph.D.",Single (but not looking),not political,Committed theist,Family was extremely religious,Christian,180,5.%,,3,5,,20,irrelevant ,irrelevant,unprovable,unprovable,irrelevant,impossible to tell,impossible to tell,irrelevant,No preference / Didn't read it,No preference / Don't believe in the Singularity,,No preference / Depends / Don't understand,No preference / Depends / Don't understand,100,,No preference / Depends / Don't understand,Pandemic (bioengineered),,"No, and don't plan to","Technology, Entrepreneurship","My moral system doesn't work like this, or I choose not to answer",100,"Math and Physics, AI, Biology and Medicine",0,No opinion,I'm a Christian figure it out,1880,98
Male,19,White (non-Hispanic),None / Decline to answer,Student,B. S.,Single (and looking),"Socialist (for example Scandinavian countries; socially permissive, high taxes and major redistribution of wealth)","Atheist, and not ""spiritual""",Family was nonreligious,,,25,,8,30,,5,100,75,0,0,0,10,0,meaningless ,Humans blow up Huygens,Eliezer's: A singleton AI suddenly reaching singularity status,2100,Cooperate,Cooperate,,,Don't,Pandemic (bioengineered),,"No, but considering it",,"Healthy, productive, adult humans, Healthy, unproductive adult humans, Infants, Fetuses, Embryos",80,"World affairs, Philosophy",75,"Possibly true, but only for a few outstanding charities",Consequentialist (generic interpretation),1880,10
Male,22,White (non-Hispanic),Other computing,Student,B. S.,Single (and looking),"Socialist (for example Scandinavian countries; socially permissive, high taxes and major redistribution of wealth)","Atheist, and not ""spiritual""",Family was about average religiousity,Christian (United Methodist),,1.%,.,0,0,0,10,95,10,0,0,0,20,0,0,No preference / Didn't read it,Eliezer's: A singleton AI suddenly reaching singularity status,2200,Defect,Defect,N/A,,Don't,Environmental catastrophe (eg global warming),.,"No, never thought about it","Atheism, Skepticism, Political debate, Political activism, Technology","Healthy, productive, adult humans, Healthy, unproductive adult humans, Infants, Other animals",100,"World affairs, Law, Energy/pollution/environment, Math and Physics, AI, Biology and Medicine",99,"Possibly true, but only for a few outstanding charities",Deontologist,1880,80
Male,25,White (non-Hispanic),Other computing,Other for-profit work,Masters,Single (and looking),"Liberal (for example, US Democrats and UK Labour; socially permissive, more taxes, more redistribution of wealth)","Atheist, and not ""spiritual""",Family was nonreligious,,,80,,18,15,4,75,98,80,0.01,0.0001,0.001,10,60,5,Superhappies reprogram the human utility function,Robin's: Whole brain emulations gradually reaching singularity status,2060,Cooperate,Defect,60,,Don't,Unfriendly AI,,"No, but considering it",,"Healthy, productive, adult humans, Infants, Fetuses, Higher primates (eg chimps)",80,"Energy/pollution/environment, AI, Philosophy",95,"Possibly true, but only for a few outstanding charities",Consequentialist (Eliezer's interpretation),1880,15
Male,30,White (non-Hispanic),Other computing,Other for-profit work,B. S.,In a relationship,"Meta-Libertarian. Government as a service, providing infrastructure for smaller communities to define own political organization, and change it as required by environment","Atheist, and not ""spiritual""",Family was less religious than average,Mixed,120,90.%,,6,15,20,95,99,0,1,0,1,100,95,1,Humans blow up Huygens,No preference / Don't believe in the Singularity,2045,Cooperate,Cooperate,60,,Don't,Unfriendly AI,,"No, but considering it",,"Healthy, productive, adult humans, Higher primates (eg chimps), Other animals",1,"Math and Physics, AI, Biology and Medicine",95,"False for all charities, or it is prohibitively difficult to identify charities for which it is true.",Consequentialist (Eliezer's interpretation),1880,99.%
Male,41,White (non-Hispanic),Artificial Intelligence,Unemployed,Ph. D.,Married,"Libertarian (for example US Libertarian Party; socially permissive, minimal/no taxes, minimal/no redistribution of wealth)","Atheist, and not ""spiritual""",Family was nonreligious,,160,50,,24,5,0,95,99,98,0.001,0.001,0.001,1,1,1,Humans blow up Huygens,Eliezer's: A singleton AI suddenly reaching singularity status,2500,Cooperate,Cooperate,90,,Give Omega $100,Nuclear war,,"No, but considering it",Political debate,"Healthy, productive, adult humans, Healthy, unproductive adult humans, Infants, Higher primates (eg chimps), Other animals",95,"Economics, World affairs, Energy/pollution/environment, Math and Physics, AI, Philosophy",90,"False for all charities, or it is prohibitively difficult to identify charities for which it is true.",Don't believe in morality,1880,20
Male,26,White (non-Hispanic),"Philosophy, Economics/Finance, Other computing, Other Social Sciences",Other for-profit work,Masters,In a relationship,"Libertarian (for example US Libertarian Party; socially permissive, minimal/no taxes, minimal/no redistribution of wealth)","Atheist, and not ""spiritual""",Family was explicitly atheist,,,90% of EY:s posts,,Since OB started.,30,15,5,75,10,1,0.000001,3,40,10,70,Humans blow up Huygens,Eliezer's: A singleton AI suddenly reaching singularity status,2040,No preference / Depends / Don't understand,No preference / Depends / Don't understand,,,Don't,"Nanotechnology/""Grey goo""",,"No, but considering it",Political activism,"My moral system doesn't work like this, or I choose not to answer",20,"Economics, World affairs, Energy/pollution/environment, Psychology and Neurology, Philosophy",60,"False for all charities, or it is prohibitively difficult to identify charities for which it is true.",Don't believe in morality,1880,95
Male,31,White (non-Hispanic),Other computing,Other for-profit work,None,Divorced,"Libertarian (for example US Libertarian Party; socially permissive, minimal/no taxes, minimal/no redistribution of wealth)",Deist / Pantheist / etc.,Family was nonreligious,,,10,.,1,20,,10,10,0,0,25,50,1,0,0,No preference / Didn't read it,No preference / Don't believe in the Singularity,,No preference / Depends / Don't understand,No preference / Depends / Don't understand,,,No preference / Depends / Don't understand,Pandemic (natural),.,"No, never thought about it","Technology, Entrepreneurship","My moral system doesn't work like this, or I choose not to answer",5,,99.999,"False for all charities, or it is prohibitively difficult to identify charities for which it is true.",more complex,1880,
Male,28,White (non-Hispanic),Other Hard Sciences,Student,Ph. D.,Single (but not looking),"Conservative (for example US Republicans or UK Tories; support ""traditional"" values, low taxes, low redistribution of wealth)",Committed theist,Family was less religious than average,Roman Catholic,164,90,.,11,20,,1,100,25,100,1,0,5,0.0000001,50,Humans blow up Huygens,No preference / Don't believe in the Singularity,2100,Cooperate,Defect,75,,Don't,Pandemic (natural),.,"No, but considering it",,"Healthy, productive, adult humans, Infants",50,Math and Physics,99,"False for all charities, or it is prohibitively difficult to identify charities for which it is true.",Deontologist,1880,80
Male,24,White (non-Hispanic),"Philosophy, Psychology",Student,None,Single (but not looking),political agnostic,"Atheist, and not ""spiritual""",Family was nonreligious,,,300,,5,,,99,95,90,0,0,0,10,90,50,Superhappies reprogram the human utility function,Robin's: Whole brain emulations gradually reaching singularity status,2070,Cooperate,Defect,,,Don't,Unfriendly AI,,"No, and don't plan to","Atheism, Transhumanism","Healthy, productive, adult humans, Healthy, unproductive adult humans",,"Math and Physics, AI, Biology and Medicine, Psychology and Neurology, Philosophy",75,"Possibly true, but only for a few outstanding charities",not sure,1880,90
Male,24,White (non-Hispanic),"Philosophy, Economics/Finance","Academic (on the teaching end, not the student end)",Masters,Single (and looking),"Liberal (for example, US Democrats and UK Labour; socially permissive, more taxes, more redistribution of wealth)","Atheist, and not ""spiritual""",Family was less religious than average,Catholic,154,90,,6,15,,50,10,0,0,0,0,0.1,0.1,1,Humans blow up Huygens,No preference / Don't believe in the Singularity,,Defect,Defect,70,,Don't,Asteroid strike,,"No, and don't plan to",,"Healthy, productive, adult humans, Healthy, unproductive adult humans, Brain-dead adult humans, Infants, Higher primates (eg chimps)",60,"Economics, Math and Physics, Philosophy",99.5,"True, for most normal charities (eg UNICEF)",Virtue Ethics,1880,30
Male,30,White (non-Hispanic),None / Decline to answer,Unemployed,None,Single (but not looking),"Liberal (for example, US Democrats and UK Labour; socially permissive, more taxes, more redistribution of wealth)","Atheist, and not ""spiritual""",Family was nonreligious,,,90,,30,10,,70,70,60,1,1,1,20,30,10,Superhappies reprogram the human utility function,Eliezer's: A singleton AI suddenly reaching singularity status,2060,Cooperate,No preference / Depends / Don't understand,,,No preference / Depends / Don't understand,Environmental catastrophe (eg global warming),,"No, but considering it","Atheism, Transhumanism","Healthy, productive, adult humans, Healthy, unproductive adult humans, Infants, Higher primates (eg chimps), Other animals",25,Philosophy,65,"Possibly true, but only for a few outstanding charities",Consequentialist (Eliezer's interpretation),1880,80
Male,20,White (non-Hispanic),"Philosophy, Economics/Finance",Student,B. S.,In a relationship,"Libertarian (for example US Libertarian Party; socially permissive, minimal/no taxes, minimal/no redistribution of wealth)","Atheist, and not ""spiritual""",Family was nonreligious,,145,50,.,3,10,,50,99,15,0.001,0.0001,0.001,45,5,55,Humans blow up Huygens,No preference / Don't believe in the Singularity,,Defect,Defect,50,,Don't,Environmental catastrophe (eg global warming),.,"No, but considering it",Political debate,"Healthy, productive, adult humans, Healthy, unproductive adult humans, Infants, Fetuses, Higher primates (eg chimps), Other animals",85,"Economics, World affairs, Math and Physics, Philosophy",98,"Possibly true, but only for a few outstanding charities",Deontologist,1880,99
Male,27,White (non-Hispanic),Other computing,Other for-profit work,B. S.,Single (but not looking),"Libertarian (for example US Libertarian Party; socially permissive, minimal/no taxes, minimal/no redistribution of wealth)","Atheist, and not ""spiritual""",Family was less religious than average,Roman Catholicism,130,"70% of Eliezer's, 15% of Robin's.",.,5,45,65,80,50,30,0,0,0,10,20,50,Humans blow up Huygens,Eliezer's: A singleton AI suddenly reaching singularity status,2060,Defect,Defect,30,,Don't,Pandemic (bioengineered),.,"No, and don't plan to",Atheism,"Healthy, productive, adult humans, Healthy, unproductive adult humans, Infants, Fetuses, Higher primates (eg chimps), Other animals",35,Philosophy,30,"Possibly true, but only for a few outstanding charities",Consequentialist (generic interpretation),1880,5
Male,23,White (non-Hispanic),"Philosophy, Math",Student,B. S.,In a relationship,"Libertarian (for example US Libertarian Party; socially permissive, minimal/no taxes, minimal/no redistribution of wealth)","Atheist, and not ""spiritual""",Family was about average religiousity,"Christian, nondenominational",,"~60%.  probably all of Eliezer's, maybe half of Robin's, and less of the rest ",,30 months (the inception of OB).  Closely for about 15 months,30 min,96,50.%,,,5.%,2.%,10.%,10.%,,40.%,Humans blow up Huygens,Robin's: Whole brain emulations gradually reaching singularity status,2150,Cooperate,Cooperate,,,No preference / Depends / Don't understand,Nuclear war,,"No, but considering it",,"Healthy, productive, adult humans, Healthy, unproductive adult humans, Infants",,"Economics, Philosophy",70.%,"False for all charities, or it is prohibitively difficult to identify charities for which it is true.",Consequentialist (Eliezer's interpretation),1880,30.%
Male,22,White (non-Hispanic),Other computing,Student,B. S.,Single (and looking),"Socialist (for example Scandinavian countries; socially permissive, high taxes and major redistribution of wealth)","Atheist, and not ""spiritual""",Family was nonreligious,,130,60,,9,30,,65,99.9,99.5,3,0.00001,5,0.1,20,1,Superhappies reprogram the human utility function,Eliezer's: A singleton AI suddenly reaching singularity status,2300,Cooperate,Defect,50,,Give Omega $100,Nuclear war,,"No, and don't plan to",,"Healthy, productive, adult humans, Healthy, unproductive adult humans, Brain-dead adult humans, Infants, Fetuses, Higher primates (eg chimps), Other animals",90,,87,"Possibly true, but only for a few outstanding charities",Consequentialist (generic interpretation),1880,15
Male,,White (non-Hispanic),Other Social Sciences,Student,Ph. D.,In a relationship,Libertarian + moderate taxes for intelligent social insurance / redistribution,"Atheist, and not ""spiritual""",Family was about average religiousity,Protestant,125,60,,18,30,90,,,,0,0,0,5,30,,Superhappies reprogram the human utility function,Robin's: Whole brain emulations gradually reaching singularity status,,No preference / Depends / Don't understand,No preference / Depends / Don't understand,10,,No preference / Depends / Don't understand,Pandemic (bioengineered),,"No, but considering it",,"Healthy, productive, adult humans, Healthy, unproductive adult humans, Infants, Higher primates (eg chimps)",75,"Economics, World affairs, Psychology and Neurology",75,"True, for most normal charities (eg UNICEF)",Consequentialist (Eliezer's interpretation),1880,10
Male,35,White (non-Hispanic),Other computing,Other for-profit work,Masters,In a relationship,"socially permissive, moderate taxes/redistribution (more than conservative, less than liberal)","Atheist, and not ""spiritual""",Family was nonreligious,,130 (std. dev. 15),"60 Eliezer, 70 Robin",,3 years,30,250,5,90,80,0.1,0.001,10,2,20,5,Humans blow up Huygens,Robin's: Whole brain emulations gradually reaching singularity status,2050,Defect,Defect,75,,Give Omega $100,Environmental catastrophe (eg global warming),,"No, but considering it",,"Healthy, productive, adult humans, Healthy, unproductive adult humans, Infants, Fetuses, Higher primates (eg chimps), Other animals",75,"Math and Physics, AI, Biology and Medicine, Psychology and Neurology, Philosophy",95,"Possibly true, but only for a few outstanding charities",,1880,10
Male,25,White (non-Hispanic),"Other computing, Other Hard Sciences",Other for-profit work,B. S.,Single (and looking),"Liberal (for example, US Democrats and UK Tories; socially permissive, more taxes, more redistribution of wealth)","Atheist, and not ""spiritual""",Family was extremely religious,Christian,158,99,.,28,20,60,90,90,10,2,0,1,10,10,2,Humans blow up Huygens,No preference / Don't believe in the Singularity,2045,Cooperate,Cooperate,75,,Give Omega $100,Environmental catastrophe (eg global warming),.,"No, but considering it",Skepticism,"Healthy, productive, adult humans, Healthy, unproductive adult humans",60,"Math and Physics, AI",80,"Possibly true, but only for a few outstanding charities",Leaning toward a Drescher-like morality.,1880,20
Male,24,White (non-Hispanic),Medicine,Student,M.D./ J.D./equivalent professional,Single (and looking),"Liberal (for example, US Democrats and UK Tories; socially permissive, more taxes, more redistribution of wealth)","Atheist, and not ""spiritual""",Family was less religious than average,Reconstructionist Jewish,,95,,16,70,,70,90,50,10,5,15,15,33,25,Superhappies reprogram the human utility function,Eliezer's: A singleton AI suddenly reaching singularity status,2110,Cooperate,Defect,,,Don't,Pandemic (bioengineered),,"No, and don't plan to",,"Healthy, productive, adult humans, Healthy, unproductive adult humans, Infants, Fetuses, Higher primates (eg chimps), Other animals",66,"Biology and Medicine, Psychology and Neurology, Philosophy",75,"Possibly true, but only for a few outstanding charities",Consequentialist (Eliezer's interpretation),1880,95
Male,21,White (non-Hispanic),"have crappy dayjob, but I read books and do math",Other for-profit work,None,Single (but not looking),"On Facebook, I list this as ""Socially liberal, fiscally confused; I don't know how to run a goddam country, and neither do you."" The tone is joking, but I really mean it.","Atheist, and not ""spiritual""",Family was less religious than average,nominally reform Jewish,131 (age 10 WISC-III),94,,20,30,246,85,50,30,0,0,0,3,5,25,Humans blow up Huygens,Eliezer's: A singleton AI suddenly reaching singularity status,2094,Cooperate,Cooperate,25,,,Unfriendly AI,,"No, but considering it",,"Healthy, productive, adult humans, Healthy, unproductive adult humans, Infants, Fetuses, Higher primates (eg chimps), Other animals",92,,90,"Possibly true, but only for a few outstanding charities","It's really, really complicated (cf. ""Thou Art Godshatter"")",1881,5
Male,35,White (non-Hispanic),Other computing,Other for-profit work,B. S.,Married,"Liberal (for example, US Democrats and UK Labour; socially permissive, more taxes, more redistribution of wealth)","Atheist, and not ""spiritual""",Family was extremely religious,Christian,148,2,,1,60,,10,99,60,,0,,5,20,20,No preference / Didn't read it,Eliezer's: A singleton AI suddenly reaching singularity status,2030,Cooperate,Cooperate,50,,,Pandemic (bioengineered),,"No, and don't plan to",,Other animals,98,,92,"False for all charities, or it is prohibitively difficult to identify charities for which it is true.",,1883,75
Male,25,White (non-Hispanic),"Artificial Intelligence, Other computing",Unemployed,Masters,Single (but not looking),"Libertarian (for example US Libertarian Party; socially permissive, minimal/no taxes, minimal/no redistribution of wealth)","Atheist, and not ""spiritual""",Family was extremely religious,Christian Evangelical ,,100,,21,20,0,70,80,25,0,0,0,15,60,15,Superhappies reprogram the human utility function,Eliezer's: A singleton AI suddenly reaching singularity status,2080,Cooperate,No preference / Depends / Don't understand,,,Give Omega $100,Nuclear war,,"No, but considering it",,"Healthy, productive, adult humans, Healthy, unproductive adult humans, Infants, Higher primates (eg chimps)",80,"Economics, Math and Physics, AI, Philosophy",50,"Possibly true, but only for a few outstanding charities",Consequentialist (generic interpretation),1885,20
Male,23,White (non-Hispanic),Other Hard Sciences,Student,B. S.,Single (and looking),"Libertarian (for example US Libertarian Party; socially permissive, minimal/no taxes, minimal/no redistribution of wealth)","Atheist, and not ""spiritual""",Family was about average religiousity,Catholic,162,60,,11,15,,80,60,20,2,0.1,10,40,70,15,Humans blow up Huygens,Eliezer's: A singleton AI suddenly reaching singularity status,2025,Cooperate,Cooperate,60,,,Unfriendly AI,,"No, but considering it","Atheism, Skepticism, Technology, Transhumanism","Healthy, productive, adult humans, Healthy, unproductive adult humans, Infants, Higher primates (eg chimps), Other animals",85,"Math and Physics, Biology and Medicine, Philosophy",65,"Possibly true, but only for a few outstanding charities",Consequentialist (generic interpretation),1885,50
Male,25,White (non-Hispanic),Mathematics,Student,Ph. D.,In a relationship,"Liberal (for example, US Democrats and UK Labour; socially permissive, more taxes, more redistribution of wealth)","Atheist, and not ""spiritual""",Family was about average religiousity,Catholic,155,"~100% of Eliezer, ~50% of Robin",,19,30,120,75,60,2,1,0.05,1,60,45,30,Humans blow up Huygens,Eliezer's: A singleton AI suddenly reaching singularity status,2050,Defect,Defect,95,,Give Omega $100,Nuclear war,,"No, but considering it",,"Healthy, productive, adult humans, Healthy, unproductive adult humans, Infants",80,"Economics, Math and Physics, Psychology and Neurology, Philosophy",20,"Possibly true, but only for a few outstanding charities",Consequentialist (Eliezer's interpretation),1885,50
Male,28,White (non-Hispanic),None / Decline to answer,Unemployed,Masters,In a relationship,"Liberal (for example, US Democrats and UK Tories; socially permissive, more taxes, more redistribution of wealth)","Atheist, and not ""spiritual""",Family was nonreligious,,128,60,.,17,30,90,85,10,0,0,80,0,0,1,1,Superhappies reprogram the human utility function,No preference / Don't believe in the Singularity,,Defect,Defect,10,,Give Omega $100,Pandemic (bioengineered),,"No, and don't plan to","Pick up artists, Spirituality/Religion","Healthy, productive, adult humans, Healthy, unproductive adult humans, Infants",20,"AI, Psychology and Neurology",90,"Possibly true, but only for a few outstanding charities",Consequentialist (generic interpretation),1885,20
